Lineage,Round,Mother.ID,Cohort num,Collection Date,Hatch Date,NextClutch,Mother.length.mm,Eggsac.area.mm2,Offspring.Count,egg1,egg2,egg3,egg4,egg5,egg6,egg7,egg8,egg9,egg10,larva1,larva2,larva3,larva4,larva5,larva6,larva7,larva8,larva9,larva10
9,1,19,3,26/04/2020,28/04/2020,5,0.634,0.0436,21,0.0671,0.0599,0.0596,0.0632,0.0557,0.0539,0.0547,0.0525,0.0513,0.0641,0.0989,0.1,0.0992,0.1047,0.0974,0.1,0.096,0.0987,0.0955,0.0959
9,1,19,4,1/05/2020,3/05/2020,,0.7179,0.0152,10,0.049,0.0543,0.0616,0.0604,0.0563,0.0564,,,,,,,,,,,,,,
10,1,20,1,17/04/2020,19/04/2020,5,0.8023,0.0725,41,0.0557,0.056,0.0567,0.0604,0.0557,0.0618,0.0592,0.0598,0.0679,0.0547,0.0968,0.0956,0.0956,0.1001,0.0975,0.0969,0.0854,0.1013,0.1057,0.0964
10,1,20,2,21/04/2020,24/04/2020,,0.7414,0.0424,23,0.0571,0.05,0.0652,0.0569,0.0475,0.0576,0.0419,0.054,0.0592,0.0541,0.1027,0.098,0.1016,0.102,0.1027,0.1009,0.1024,0.0984,0.1025,0.1016
10,1,22,1,17/04/2020,19/04/2020,4,0.839,0.0863,40,0.0563,0.0614,0.055,0.0521,0.0547,0.0609,0.0622,0.0495,0.0607,0.0616,0.0928,0.1114,0.0956,0.0958,0.1048,0.0946,0.1007,0.0984,0.0999,0.0975
10,1,22,2,21/04/2020,23/04/2020,,0.7202,0.043,36,0.057,0.0514,0.0552,0.0485,0.0543,0.045,0.043,0.0448,0.0439,0.0488,0.1377,0.1451,0.1402,0.1331,0.1394,0.1596,0.0913,0.1498,0.1502,0.142
10,1,29,1,20/04/2020,22/04/2020,3,0.7558,0.0742,21,0.0607,0.0561,0.0588,0.0587,0.0626,0.0538,0.0586,0.0581,0.0573,0.0573,0.1439,0.1574,0.1105,0.1147,0.153,0.1459,0.1564,0.1585,0.1456,0.1112
10,1,29,2,23/04/2020,25/04/2020,4,0.7451,0.056,36,0.0606,0.051,0.0597,0.0546,0.0494,0.051,0.059,0.0559,0.0555,0.0533,0.1035,0.103,0.1038,0.116,0.1087,0.1034,0.1156,0.1087,0.1071,0.116
10,1,29,3,27/04/2020,29/04/2020,4,0.6813,0.0435,14,0.0561,0.0623,0.0673,0.0599,0.0596,0.067,0.058,0.0603,0.0614,0.0519,0.1062,0.1192,0.1226,0.1283,0.1472,0.11,0.1416,0.1446,0.1105,0.119
10,1,29,4,1/05/2020,3/05/2020,,0.746,0.0289,13,0.0607,0.0599,0.0587,0.0446,0.0522,0.0553,0.0667,0.0552,0.0604,,,,,,,,,,,
10,1,37,1,27/04/2020,29/04/2020,,0.7163,0.0102,0,0.0609,0.0618,0.069,,,,,,,,,,,,,,,,,
10,1,5,1,12/04/2020,13/04/2020,4,0.7408,0.0472,14,0.0547,0.0533,0.0546,0.0552,0.0564,0.0546,0.0536,0.052,0.0599,0.0586,,,,,,,,,,
10,1,5,2,15/04/2020,17/04/2020,,0.7403,0.0447,15,0.0532,0.064,0.0494,0.0541,0.0552,0.051,0.055,0.0597,0.0506,0.0519,0.0953,0.1118,0.0987,0.0971,0.0999,0.1011,0.095,0.0959,0.0925,
11,1,1,1,16/04/2020,18/04/2020,4,0.7195,0.0545,6,0.0465,0.0607,0.0585,0.062,0.0566,0.0622,0.0537,0.0573,0.053,0.0497,0.1022,0.0962,0.0971,0.0975,,,,,,
11,1,1,2,19/04/2020,22/04/2020,5,0.7199,0.0415,27,0.05,0.0449,0.0398,0.037,0.04,0.044,0.0434,0.0464,0.0341,0.0449,0.0935,0.0961,0.101,0.1057,0.0976,0.098,0.101,0.0954,0.1061,0.0915
11,1,11,3,25/04/2020,27/04/2020,,0.7808,0.0154,0,0.056,0.0556,0.04,0.0479,0.0412,,,,,,,,,,,,,,,
11,1,10,1,20/04/2020,25/04/2020,,0.7116,0.0228,3,0.0472,0.0416,0.0391,0.0466,0.0358,0.0398,,,,,,,,,,,,,,
11,1,11,1,16/04/2020,17/04/2020,6,0.8095,0.025,0,0.0551,0.0543,0.0581,0.0477,0.0579,0.0679,0.0613,,,,,,,,,,,,,
11,1,11,2,18/04/2020,23/04/2020,,0.8219,0.0133,0,0.0629,0.0581,0.0576,0.0566,,,,,,,,,,,,,,,,
11,1,12,1,16/04/2020,18/04/2020,2,0.7521,0.0893,31,0.0665,0.063,0.0541,0.0506,0.0465,0.041,0.0553,0.053,0.0505,0.047,0.0973,0.1108,0.0646,0.0679,0.0948,0.0978,0.0672,0.0772,0.0744,0.0962
11,1,12,2,18/04/2020,20/04/2020,4,0.7827,0.0724,38,0.0506,0.05,0.0555,0.0461,0.0544,0.0442,0.0459,0.052,0.0498,0.0524,0.1047,0.101,0.0969,0.1011,0.1041,0.1018,0.1066,0.1019,0.0997,0.1041
