,lineage,focal.ID,round,treatment,f0.mother,collection.date,sex,size.mm,log size,larvalsize.mm,adult.size.mm,age,gomp,loggomp,resid,var
25,8,10,1,l,d,5/04/2020,f,0.0984,-1.007004902,0.0984,0.65,0,0.08815,-1.054777683,0.047772781,0.002282239
26,8,11,1,l,d,5/04/2020,f,0.1111,-0.954285941,0.1111,0.681,0,0.08815,-1.054777683,0.100491742,0.01009859
27,20,23,1,l,g,5/04/2020,f,0.0979,-1.009217308,0.0979,0.717,0,0.08815,-1.054777683,0.045560375,0.002075748
28,6,1,1,h,a,5/04/2020,f,0.0956,-1.019542108,0.0956,0.69,0,0.08631,-1.063938883,0.044396775,0.001971074
29,13,11,1,h,b,5/04/2020,f,0.0967,-1.014573526,0.0967,0.734,0,0.08631,-1.063938883,0.049365357,0.002436939
30,12,23,1,h,k,6/04/2020,f,0.1061,-0.974284616,0.1061,0.681,0,0.08631,-1.063938883,0.089654267,0.008037888
31,20,30,1,l,n,6/04/2020,f,0.1096,-0.960189446,0.1096,0.622,0,0.08815,-1.054777683,0.094588237,0.008946935
32,14,18,1,l,j,6/04/2020,f,0.1088,-0.963371105,0.1088,0.688,0,0.08815,-1.054777683,0.091406578,0.008355163
33,19,11,1,l,g,6/04/2020,f,0.1066,-0.972242795,0.1066,0.6796,0,0.08815,-1.054777683,0.082534888,0.006812008
34,2,19,1,l,d,6/04/2020,f,0.0999,-1.000434512,0.0999,0.646,0,0.08815,-1.054777683,0.054343171,0.00295318
35,15,25,1,h,i,7/04/2020,f,0.125,-0.903089987,0.125,0.599,0,0.08631,-1.063938883,0.160848896,0.025872367
36,6,15,1,h,g,8/04/2020,f,0.0956,-1.019542108,0.0956,0.646,0,0.08631,-1.063938883,0.044396775,0.001971074
37,8,17,1,l,f,8/04/2020,f,0.1019,-0.991825816,0.1019,0.57,0,0.08815,-1.054777683,0.062951867,0.003962938
38,19,17,2,l,i,4/05/2020,f,0.0985,-1.00656377,0.0985,0.761,0,0.08815,-1.054777683,0.048213913,0.002324581
39,8,10,2,l,e,11/05/2020,f,0.0904,-1.04383157,0.0904,0.695,0,0.08815,-1.054777683,0.010946113,0.000119817
40,8,14,2,l,f,12/05/2020,f,0.0997,-1.001304842,0.0997,0.837,0,0.08815,-1.054777683,0.053472841,0.002859345
41,17,2,2,h,a,3/05/2020,f,0.0936,-1.028724151,0.0936,0.829,0,0.08631,-1.063938883,0.035214732,0.001240077
42,17,5,2,h,b,4/05/2020,f,0.094,-1.026872146,0.094,0.666,0,0.08631,-1.063938883,0.037066737,0.001373943
43,17,6,2,h,b,4/05/2020,f,0.1012,-0.994819487,0.1012,0.718,0,0.08631,-1.063938883,0.069119396,0.004777491
44,11,7,1,h,d,2/04/2020,f,0.3154,-0.501138311,0.094,0.703,3,0.261086968,-0.583214806,0.082076495,0.006736551
45,11,10,1,h,e,2/04/2020,f,0.2747,-0.561141341,0.0989,0.668,3,0.261086968,-0.583214806,0.022073465,0.000487238
